sigma_v_mV_RMS,sigma_i_mA_RMS,seed,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,edge_fit_rejection_rate,status,noise_type
0.5,20,1,0.00010130506903177,0.0505370308591765,9.99250095975316e-05,0.0749904024684556,0.0498074001728407,0.385199654318646,0,PASS,analog_only
0.5,20,2,0.000100430481164802,0.0494479700751506,0.000100104621585785,0.104621585784992,0.0499226586382907,0.154682723418531,0,PASS,analog_only
0.5,20,3,9.94705237203709e-05,0.04944960715241,0.000100068752953186,0.068752953185891,0.0497821390039267,0.435721992146632,0,PASS,analog_only
0.5,20,4,0.00010121098217571,0.0506181979817791,0.000100088607135041,0.0886071350407747,0.0498037626615708,0.392474676858379,0,PASS,analog_only
0.5,20,5,9.93415304721826e-05,0.050603995811195,0.000100138244830945,0.1382448309446,0.0499494994561596,0.101001087680896,0,PASS,analog_only
0.5,20,6,0.00010047171678495,0.0495794431002446,9.99243412128845e-05,0.0756587871155179,0.0498367601700015,0.326479659997103,0,PASS,analog_only
0.5,20,7,0.000101681841792487,0.0494882845839044,0.000100057934246283,0.0579342462830201,0.050026418865156,0.0528377303119276,0,PASS,analog_only
0.5,20,8,0.00010224067913687,0.0509276972785266,0.000100184881076364,0.184881076363852,0.0497042828607385,0.591434278522973,0,PASS,analog_only
0.5,20,9,9.89030629218839e-05,0.0489007248084675,9.99109809556435e-05,0.0890190443565086,0.0498819359881999,0.236128023600124,0,PASS,analog_only
0.5,20,10,9.93835795725206e-05,0.0494907057455038,9.99750177102564e-05,0.0249822897436025,0.0498631529766976,0.273694046604789,0,PASS,analog_only
0.5,20,11,9.9257853445303e-05,0.0496876833596205,0.000100087736067711,0.0877360677105532,0.0500921591553442,0.184318310688458,0,PASS,analog_only
0.5,20,12,9.95324885237636e-05,0.0503691339483586,0.000100150780424522,0.150780424522146,0.0499424128349339,0.115174330132251,0,PASS,analog_only
0.5,20,13,9.83614173196003e-05,0.0486457429185031,9.99292376944508e-05,0.0707623055491768,0.0498715804525834,0.256839094833206,0,PASS,analog_only
0.5,20,14,9.87589027841232e-05,0.0494438689564084,0.000100048254573053,0.0482545730531747,0.0498242841776332,0.351431644733691,0,PASS,analog_only
0.5,20,15,0.000101353584640926,0.0507609892181639,9.98420938930391e-05,0.157906106960914,0.0499199310592405,0.160137881518974,0,PASS,analog_only
