voltage_architecture,architecture_name,ADC_mode,nominal_bits,ENOB,fs_adc_Hz,operating_case,C_F,ESR_Ohm,LSB_edge_plant_V,LSB_C_plant_V,ESR_edge_codes,C_charge_window_codes,RMS_noise_codes,ESR_code_risk,C_code_risk,edge_plant_span_V,C_plant_span_V,vT_baseline_V,separate_edge_channel
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_D,9e-05,0.1,0.00152590218966964,0.00152590218966964,1052.20993502342,470.660293789943,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_D,0.0001,0.05,0.00152590218966964,0.00152590218966964,526.104967511711,423.594264410949,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_D,0.0001,0.075,0.00152590218966964,0.00152590218966964,789.157451267566,423.594264410949,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_D,0.0001,0.1,0.00152590218966964,0.00152590218966964,1052.20993502342,423.594264410949,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,low_CCM_margin,8e-05,0.05,0.0061038881767686,0.0061038881767686,5.23329739793337,5.52999403440788,1.15470053837925,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8411703854547,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,low_CCM_margin,8e-05,0.075,0.0061038881767686,0.0061038881767686,7.84994609690006,5.52999403440788,1.15470053837925,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8411703854547,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,low_CCM_margin,8e-05,0.1,0.0061038881767686,0.0061038881767686,10.4665947958667,5.52999403440788,1.15470053837925,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8411703854547,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,low_CCM_margin,9e-05,0.05,0.0061038881767686,0.0061038881767686,5.23329739793337,4.915550252807,1.15470053837925,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8411703854547,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,low_CCM_margin,9e-05,0.075,0.0061038881767686,0.0061038881767686,7.84994609690006,4.915550252807,1.15470053837925,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8411703854547,0
V1,wide_range_vT,external_14bit_reference,14,12,5000000,low_CCM_margin,9e-05,0.1,0.0061038881767686,0.0061038881767686,10.4665947958667,4.915550252807,1.15470053837925,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8411703854547,0
