cycle,time_s,vT_minus_V,vT_plus_V,delta_v_edge_V,i1_A,i2_A,ESR_edge_Ohm,ESR_true_Ohm
126,0.01848,40.1494728819276,40.0370314848393,0.112441397088283,0.870111270415565,1.37871667134996,0.0500000000000028,0.05
127,0.0185,40.1494186858445,40.0364532950613,0.112965390783188,0.875748180500352,1.38355963516344,0.0499999999999992,0.05
128,0.01852,40.1496430217933,40.0361515625905,0.113491459202827,0.881387738193748,1.38844144586267,0.0500000000000025,0.05
129,0.01854,40.1518200612287,40.0386027618925,0.113217299336277,0.878963441197228,1.38538254552832,0.05,0.05
130,0.01856,40.153942450831,40.0409975201324,0.112944930698553,0.876484630678333,1.38241398329264,0.050000000000002,0.05
131,0.01858,40.154329732106,40.0408532473085,0.113476484797452,0.882013517255793,1.38751617869338,0.0499999999999972,0.05
132,0.0186,40.1549604541104,40.0409508693097,0.114009584800655,0.887535211330705,1.39265648468244,0.0499999999999991,0.05
133,0.01862,40.1575181140728,40.0437762991061,0.113741814966616,0.884982813936498,1.38985348539579,0.0500000000000006,0.05
134,0.01864,40.159984243987,40.0465089592093,0.113475284777728,0.88236745560196,1.38713823995264,0.0499999999999991,0.05
135,0.01866,40.1606671653458,40.0466549234807,0.114012241865112,0.887753622587059,1.39249121471515,0.0500000000000005,0.05
136,0.01868,40.1615554944793,40.0470052996685,0.114550194810789,0.893126254144542,1.39787764207126,0.0499999999999996,0.05
137,0.0187,40.1643432092649,40.0500566162458,0.114286593019031,0.890417862528417,1.39531399785232,0.0499999999999974,0.05
138,0.01872,40.167001006598,40.0529773414248,0.114023665173278,0.887641677774701,1.39283162569082,0.0500000000000007,0.05
139,0.01874,40.1695146371918,40.0557529615765,0.113761675615343,0.884801067512836,1.3904324447941,0.0499999999999985,0.05
140,0.01876,40.1701871789229,40.0558841225406,0.114303056382312,0.889963760587788,1.39609736705846,0.0499999999999998,0.05
141,0.01878,40.1710135134964,40.056168389444,0.114845124052401,0.895114079018915,1.40178840202906,0.050000000000001,0.05
142,0.0188,40.1736943052852,40.0591091690564,0.114585136228797,0.892183777486881,1.39951894708901,0.0500000000000011,0.05
143,0.01882,40.1761955862518,40.0618700820647,0.114325504187086,0.889189125017047,1.39732095872457,0.0500000000000023,0.05
144,0.01884,40.1768103254512,40.0619415360827,0.114868789368515,0.894200167958223,1.40317561941206,0.0500000000000004,0.05
145,0.01886,40.1775458969303,40.0621337161037,0.115412180826574,0.899200784656212,1.4090428318752,0.0500000000000015,0.05
146,0.01888,40.1801156341061,40.0649628249164,0.115152809189617,0.896122024719338,1.40693415907297,0.0500000000000007,0.05
147,0.0189,40.1824758081136,40.0675825969738,0.114893211139808,0.8929820915805,1.4048821312157,0.0499999999999992,0.05
148,0.01892,40.1829098139864,40.0674737430623,0.115436070924076,0.897853122620817,1.41086829586067,0.0500000000000008,0.05
149,0.01894,40.1834381917858,40.0674597326048,0.11597845918093,0.902718467645008,1.4168507159736,0.0499999999999997,0.05
150,0.01896,40.1857874497545,40.0700700539459,0.115717395808588,0.899508445020469,1.41483947115138,0.0499999999999981,0.05
151,0.01898,40.1879045746026,40.0724490407122,0.115455533890362,0.896242902166961,1.41286777564038,0.0499999999999979,0.05
152,0.019,40.1880639520238,40.0720682868743,0.115995665149534,0.900995700554816,1.41891760243576,0.0500000000000021,0.05
153,0.01902,40.1882996208224,40.0717648606456,0.116534760176741,0.90574962244591,1.42494558108897,0.0499999999999986,0.05
154,0.01904,40.1903514249663,40.0740816730603,0.116269751905932,0.902434265124902,1.4229607729938,0.0499999999999988,0.05
155,0.01906,40.192157550605,40.0761541578972,0.11600339270786,0.899070711293389,1.42099714286388,0.0499999999999986,0.05
156,0.01908,40.1937112805778,40.0779753246675,0.115735955910289,0.89566495839801,1.41905415980766,0.0500000000000021,0.05
157,0.0191,40.1932847016687,40.0770143524273,0.116270349241404,0.900292491688419,1.42511449313969,0.0499999999999993,0.05
158,0.01912,40.1929207480032,40.0761173180114,0.11680342999184,0.90493526382743,1.43113333600938,0.0499999999999999,0.05
159,0.01914,40.1943678201326,40.0778357687558,0.116532051376787,0.901522187851723,1.42911883968393,0.0500000000000018,0.05
160,0.01916,40.1955620069034,40.0793029380552,0.11625906884818,0.898075483905711,1.42710589305788,0.0500000000000001,0.05
161,0.01918,40.1947675748807,40.0779801457446,0.116787429136004,0.902671089346474,1.43307749337348,0.0500000000000024,0.05
162,0.0192,40.1940405496732,40.0767265863486,0.117313963324548,0.907290542774364,1.43898872371666,0.0499999999999987,0.05
163,0.01922,40.1951419815346,40.0781064648681,0.117035516666448,0.903862254930871,1.43684807839808,0.0500000000000001,0.05
164,0.01924,40.1960000976818,40.0792451237968,0.116754973885058,0.900408395474511,1.43469108222659,0.0500000000000013,0.05
165,0.01926,40.1948716910707,40.0775963960258,0.117275295044855,0.905004827983482,1.4405010729137,0.0499999999999984,0.05
166,0.01928,40.1938251231983,40.0760318076171,0.117793315581231,0.909632726491347,1.44623358513329,0.0499999999999997,0.05
167,0.0193,40.1946331812225,40.0771272800513,0.117505901171214,0.906220047084979,1.4438979763394,0.0499999999999976,0.05
168,0.01932,40.1952164834576,40.0780005424858,0.117215940971853,0.902788424417337,1.4415303950197,0.0500000000000007,0.05
169,0.01934,40.1938246597992,40.0760982731317,0.117726386667535,0.907413190365325,1.44711454298534,0.0500000000000006,0.05
170,0.01936,40.1925373084766,40.0743032035921,0.118234104884507,0.912075201978458,1.45260689571169,0.05,0.05
171,0.01938,40.1931377126706,40.0752017083863,0.117936004284296,0.908701992698665,1.4500180929872,0.050000000000001,0.05
172,0.0194,40.1935391169149,40.0759041585937,0.117634958321155,0.905314269458631,1.44738489696451,0.0499999999999989,0.05
173,0.01942,40.1937438977721,40.0764126147808,0.117331282991323,0.901916737659431,1.444708922167,0.0500000000000005,0.05
174,0.01944,40.1920013259611,40.0741734140391,0.117827911921999,0.906583729501641,1.44997450893839,0.049999999999999,0.05
175,0.01946,40.1903951727219,40.0720734189085,0.118321753813404,0.911295626081234,1.45513945018699,0.0499999999999972,0.05
176,0.01948,40.1907119042494,40.0727021257591,0.11800977849024,0.907979602783164,1.45221596702156,0.0500000000000016,0.05
177,0.0195,40.1908641517631,40.0731693177625,0.117694834000545,0.904655137109555,1.44924154290132,0.0500000000000006,0.05
178,0.01952,40.189094680121,40.0709148721585,0.118179807962534,0.909395297732394,1.4542008615183,0.0499999999999996,0.05
179,0.01954,40.1874952453795,40.0688335597587,0.118661685620772,0.914180306723832,1.45905340569157,0.0500000000000009,0.05
180,0.01956,40.1878594135203,40.0695219022966,0.118337511223665,0.910937010768884,1.45581321370436,0.0500000000000009,0.05
181,0.01958,40.1880929993483,40.0700829147198,0.118010084628459,0.907683422163871,1.45251827040523,0.0500000000000016,0.05
182,0.0196,40.186432498876,40.0679502468003,0.118482252075658,0.912491335496433,1.45715370601676,0.0499999999999994,0.05
183,0.01962,40.184975952467,40.0660248772687,0.118951075198311,0.917340787309167,1.46168071665706,0.0499999999999998,0.05
184,0.01964,40.1855222525247,40.0669085878915,0.118613664633187,0.914158229247227,1.45811506341656,0.0499999999999991,0.05
185,0.01966,40.1859706549595,40.0676978753967,0.118272779562872,0.910960302483755,1.45449528877359,0.0500000000000021,0.05
186,0.01968,40.1845517169109,40.0658204769614,0.11873123994954,0.915817695147146,1.45880710384361,0.0500000000000008,0.05
187,0.0197,40.1833679872071,40.0641818148277,0.119186172379429,0.920710193422447,1.46301325416612,0.0500000000000002,0.05
188,0.01972,40.1842218618615,40.0653871269822,0.11883473487935,0.9175637532215,1.4591309443655,0.05,0.05
189,0.01974,40.1850064232012,40.066526759317,0.118479663884251,0.914393915992399,1.45519936169271,0.0499999999999983,0.05
190,0.01976,40.185722911088,40.0676015741699,0.118121336918087,0.911202284305059,1.45122445405667,0.0500000000000001,0.05
191,0.01978,40.1846033042427,40.0660407143165,0.11856258992615,0.916058790508949,1.45519300801415,0.0499999999999977,0.05
192,0.0198,40.1837454185648,40.064744844846,0.119000573718843,0.920942634025172,1.45906884035173,0.0499999999999991,0.05
193,0.01982,40.1849457391977,40.0663132867705,0.118632452427214,0.917779128873594,1.45486991967058,0.0500000000000022,0.05
194,0.01984,40.1860986773821,40.0678376923083,0.118260985073789,0.914583347222531,1.45063635425337,0.0499999999999975,0.05
195,0.01986,40.1854315147314,40.0667424821635,0.11868903256785,0.919424907116152,1.4543557442408,0.0500000000000012,0.05
196,0.01988,40.1850429007719,40.0659291406115,0.119113760160445,0.924282597239817,1.45799260596907,0.0500000000000005,0.05
197,0.0199,40.1867292343692,40.0679969169315,0.118732317437761,0.921081038577618,1.45356531017757,0.0500000000000007,0.05
198,0.01992,40.1883801915479,40.0700326949828,0.118347496565093,0.917835177399465,1.4491147539024,0.05,0.05
199,0.01994,40.1882190759181,40.069456853889,0.118762222029083,0.922614903256661,1.45262953732499,0.0500000000000004,0.05
200,0.01996,40.1883439650638,40.0691703301457,0.119173634918027,0.927398431429294,1.45607426693136,0.0499999999999978,0.05
