cycle,time_s,C_OFF_F,C_ON_F,Q_OFF_C,Q_ON_C,C_true_F,ESR_true_Ohm
140,0.01876,9.99999985804372e-05,9.99999980858287e-05,1.29371737134063e-05,1.28802917853069e-05,0.0001,0.05
141,0.01878,9.9999998580758e-05,9.99999980855657e-05,1.30304500512758e-05,1.27477193056299e-05,0.0001,0.05
142,0.0188,9.99999985814818e-05,9.99999980856736e-05,1.29948917162243e-05,1.27297902978613e-05,0.0001,0.05
143,0.01882,9.99999985807445e-05,9.99999980856247e-05,1.29271243248251e-05,1.28907055562756e-05,0.0001,0.05
144,0.01884,9.99999985795462e-05,9.99999980851877e-05,1.29867077497219e-05,1.29381536220343e-05,0.0001,0.05
145,0.01886,9.99999985799508e-05,9.99999980849729e-05,1.30786111487549e-05,1.28062435719742e-05,0.0001,0.05
146,0.01888,9.99999985807204e-05,9.99999980850697e-05,1.30412899599979e-05,1.27895728337321e-05,0.0001,0.05
147,0.0189,9.99999985800078e-05,9.99999980849642e-05,1.29714378493758e-05,1.29523923534461e-05,0.0001,0.05
148,0.01892,9.99999985788772e-05,9.99999980846156e-05,1.3029382955936e-05,1.30008718372673e-05,0.0001,0.05
149,0.01894,9.9999998579238e-05,9.99999980844122e-05,1.31200455550192e-05,1.28690695849125e-05,0.0001,0.05
150,0.01896,9.99999985800104e-05,9.99999980844729e-05,1.30811827686565e-05,1.28531425091244e-05,0.0001,0.05
151,0.01898,9.99999985793479e-05,9.99999980844296e-05,1.30095468656971e-05,1.30173730509784e-05,0.0001,0.05
152,0.019,9.99999985782788e-05,9.99999980840107e-05,1.30661252058016e-05,1.30663278708123e-05,0.0001,0.05
153,0.01902,9.99999985786422e-05,9.99999980838533e-05,1.31557958579348e-05,1.29340385960966e-05,0.0001,0.05
154,0.01904,9.99999985794348e-05,9.99999980839565e-05,1.31157127134342e-05,1.29182823191966e-05,0.0001,0.05
155,0.01906,9.99999985802533e-05,9.99999980840642e-05,1.30750870724914e-05,1.29026852491669e-05,0.0001,0.05
156,0.01908,9.99999985796281e-05,9.99999980839731e-05,1.30019220601512e-05,1.30677175518067e-05,0.0001,0.05
157,0.0191,9.99999985785025e-05,9.99999980836571e-05,1.30570934164904e-05,1.31167025779795e-05,0.0001,0.05
158,0.01912,9.99999985789284e-05,9.99999980834512e-05,1.31454346386803e-05,1.29836619838325e-05,0.0001,0.05
159,0.01914,9.99999985797262e-05,9.9999998083607e-05,1.31042660385435e-05,1.29676137793358e-05,0.0001,0.05
