test_id,fs_adc_Hz,adc_interval_s,adc_bits,sample_phase,window_requested_us,window_actual_us,points_available_pre,points_available_post,sampling_geometry_feasible,afe_order,afe_fc_v_Hz,afe_fc_i1_Hz,afe_fc_i2_Hz,attenuation_v_at_fsw_dB,group_delay_v_at_fsw_s,group_delay_v_edge_band_s,attenuation_i_at_fsw_dB,group_delay_i_at_fsw_s,group_delay_i_edge_band_s,alias_ratio_dB,C_MAPE_percent,ESR_MAPE_percent,NIS_V_mean,NIS_C_mean,NIS_R_mean,edge_predicted_variance_V2,voltage_saturation_fraction,current_saturation_fraction,accuracy_geometry_pass,robust_alias_pass,perturbation
678,1600000,6.25e-07,16,0.67,2,1.875,3,3,1,1,250000,500000,500000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.0432137378264256,3.1515830311229e-07,2.54647908913008e-07,-37.4831195261177,13.1076278327428,47.0135100286594,1.6850237142222,156.973645754598,0.181593828861986,6.78851393351042e-05,0,0,0,0,nominal_fsw
679,1600000,6.25e-07,16,0.13,2,1.875,3,3,1,2,250000,500000,500000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-0.000434272768624432,4.5461427828784e-07,5.29597832694518e-07,-40.941498682637,3.33111625627639,95.7092542885648,32.0356501538348,1064.51961585975,0.285505065076609,0.000166217048241416,0,0,0,0,nominal_fsw
680,1600000,6.25e-07,16,0.67,2,1.875,3,3,1,2,250000,500000,500000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-0.000434272768624432,4.5461427828784e-07,5.29597832694518e-07,-40.941498682637,2.06980574113533,96.0388894483501,33.4462633901292,1087.66395821909,0.305884362612019,0.000160690385554294,0,0,0,0,nominal_fsw
681,1600000,6.25e-07,16,0.13,2,1.875,3,3,1,1,250000,1000000,1000000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.0108438129222004,1.58758047966712e-07,1.49792887593424e-07,-37.4831195261177,12.0162229966278,46.0765326125553,1.60036013642995,152.658148367525,0.177851342752162,6.52107390764105e-05,0,0,0,0,nominal_fsw
682,1600000,6.25e-07,16,0.67,2,1.875,3,3,1,1,250000,1000000,1000000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.0108438129222004,1.58758047966712e-07,1.49792887593424e-07,-37.4831195261177,11.9306847659247,46.4279250680691,1.52348931625357,158.835901707263,0.21542793567046,6.41920739234778e-05,0,0,0,0,nominal_fsw
683,1600000,6.25e-07,16,0.13,2,1.875,3,3,1,2,250000,1000000,1000000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-2.71433202967853e-05,2.25640366491931e-07,2.38215990294049e-07,-40.3129335157713,1.90101101050899,95.4764291057061,33.6266816766724,1102.77938398359,0.275354940497223,0.000158404048211157,0,0,0,0,nominal_fsw
684,1600000,6.25e-07,16,0.67,2,1.875,3,3,1,2,250000,1000000,1000000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-2.71433202967853e-05,2.25640366491931e-07,2.38215990294049e-07,-40.3129335157713,0.303074451282459,95.027794218475,32.6131987660444,1092.06314614502,0.226891606525141,0.000160046847886535,0,0,0,0,nominal_fsw
685,1600000,6.25e-07,16,0.13,2,1.875,3,3,1,1,250000,2000000,2000000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.00271349263374914,7.95277666910522e-08,7.83532027490969e-08,-37.4831195261177,11.7296663725276,46.5770320102203,1.72528976436825,161.139409107951,0.190161018624175,6.40174456115228e-05,0,0,0,0,nominal_fsw
686,1600000,6.25e-07,16,0.67,2,1.875,3,3,1,1,250000,2000000,2000000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.00271349263374914,7.95277666910522e-08,7.83532027490969e-08,-37.4831195261177,11.8737410611689,46.8315910941437,1.60994375536749,157.456600930737,0.224377286025204,6.55017862629323e-05,0,0,0,0,nominal_fsw
687,1600000,6.25e-07,16,0.13,2,1.875,3,3,1,2,250000,2000000,2000000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-1.69646248855021e-06,1.12609832744504e-07,1.14270071863055e-07,-39.8069372280732,0.168102441857898,95.6256334415343,33.7959459591938,1120.66617765681,0.237920695695052,0.000158038622299317,0,0,0,0,nominal_fsw
