scenario,seed,C_est_F,ESR_est_Ohm,C_MAPE_percent,ESR_MAPE_percent,sigma_C_F,sigma_ESR_Ohm,NEES_full,NEES_param,CI_C_contains_true,CI_ESR_contains_true,accuracy_pass
nominal,71,9.98174666581672e-05,0.050107916503499,0.182533341832813,0.215833006998034,8.75001600730233e-07,0.000311747667581288,0.63112272872169,0.574843896494652,1,1,1
nominal,72,0.000100025765692254,0.0499436775808417,0.0257656922537652,0.112644838316645,8.7862183740146e-07,0.000313748013161624,0.170070462286141,0.141900560133444,1,1,1
nominal,73,9.95880037911255e-05,0.0500817003108831,0.411996208874488,0.163400621766141,8.70951488448221e-07,0.000310751656103153,1.22000139636314,1.19904748287827,1,1,1
nominal,74,0.000100688503466242,0.0500468050996533,0.688503466241785,0.0936101993066929,8.90303067338782e-07,0.000312897092487808,0.478215192116333,0.457926201768728,1,1,1
nominal,75,9.90381357175261e-05,0.04985144511174,0.961864282473901,0.297109776519944,8.61339272517728e-07,0.000310061574583348,1.07153363482225,1.06123939320211,1,1,1
nominal,76,0.000100005928038372,0.0498216713280834,0.00592803837156097,0.356657343833156,8.78249360873761e-07,0.000308760832408179,0.17475349144726,0.165654873032382,1,1,1
nominal,77,0.000100044477508711,0.0500500156823223,0.0444775087111715,0.100031364644537,8.8169119582306e-07,0.000311667679870198,0.499968787491093,0.476904259712161,1,1,1
nominal,78,0.000100644365807499,0.0499321664891504,0.644365807498892,0.135667021699193,8.89518854612827e-07,0.00030979310814963,0.0716429223637708,0.0424258538883968,1,1,1
nominal,79,9.9112984042113e-05,0.0499687167136818,0.887015957886972,0.0625665726363245,8.67812898948356e-07,0.000309499843817543,0.729490169116681,0.710382936117239,1,1,1
nominal,80,0.000100079081870255,0.0500698874753994,0.0790818702554041,0.139774950798799,8.79559405209015e-07,0.000311991290786717,0.534700335050701,0.513461832051773,1,1,1
nominal,81,0.00010057249802616,0.0498204944996982,0.572498026160084,0.359011000603593,8.88240779667053e-07,0.000313977296460037,2.18501199792383,2.16311477558317,1,1,1
nominal,82,9.965122267473e-05,0.0499312118282106,0.348777325270011,0.137576343578882,8.72179474613607e-07,0.000310953118526945,0.332721639593313,0.319603499181069,1,1,1
nominal,83,0.000100178776211178,0.0499523356314962,0.178776211178011,0.0953287370076938,8.8131549659748e-07,0.000310715295055991,1.70442082600647,1.68531498374768,1,1,1
nominal,84,9.9702050834397e-05,0.0500231350714678,0.29794916560304,0.0462701429356116,8.72943405114412e-07,0.000309957864988948,0.10004919669602,0.0681809097718424,1,1,1
nominal,85,0.000100673383417292,0.0502390435803271,0.673383417291951,0.478087160654117,8.91132221706719e-07,0.000311018774201533,0.517728023384562,0.485076161974679,1,1,1
nominal,86,0.000100231629313934,0.0499740147152498,0.231629313933523,0.0519705695005035,8.82244744476002e-07,0.000314861822732733,0.192968553716796,0.159715076742846,1,1,1
nominal,87,9.9788020961755e-05,0.050126745767978,0.211979038244992,0.253491535955996,8.74447769929875e-07,0.000312187974551476,0.322116988162522,0.289203205430636,1,1,1
nominal,88,0.000100122651312753,0.0500753903305121,0.122651312753019,0.150780661024275,8.80388053023851e-07,0.000309681282413221,0.951054729031201,0.916652997566683,1,1,1
nominal,89,0.000100239574409878,0.0500884878386135,0.239574409877563,0.176975677226943,8.8766641300477e-07,0.000312091218578336,0.726626570937434,0.699368082385571,1,1,1
nominal,90,9.96786174986976e-05,0.0499603138848858,0.32138250130237,0.0793722302283695,8.7253171134336e-07,0.000310584953574,0.0551278203084701,0.0457366447389047,1,1,1
nominal,91,9.99434392122186e-05,0.0499406780258091,0.0565607877814456,0.118643948381703,8.77243046819974e-07,0.000314435902486992,0.488932811487298,0.466929647326203,1,1,1
nominal,92,0.000100018276637858,0.0500782290680518,0.018276637858361,0.156458136103677,8.83649759209307e-07,0.000310655759795222,0.463131269937983,0.432193931995354,1,1,1
nominal,93,9.94800903605237e-05,0.0500068868219967,0.519909639476268,0.0137736439934866,8.6904995646731e-07,0.000311878523642299,1.45046694427501,1.43069517453113,1,1,1
nominal,94,0.000100196519842919,0.0499755304289676,0.196519842919152,0.0489391420647856,8.81609754635642e-07,0.000311731918367748,1.35732230444331,1.33909216207483,1,1,1
nominal,95,0.00010038209823492,0.0500985727296907,0.382098234920436,0.197145459381298,8.84905587538436e-07,0.000310431982795187,0.0997661590988178,0.0671207698651164,1,1,1
nominal,96,9.99444308793074e-05,0.0500680622739456,0.0555691206926445,0.136124547891159,8.78334273465006e-07,0.000313507879940955,0.628917066848335,0.591216592396197,1,1,1
nominal,97,9.95197899028361e-05,0.0500396927287828,0.480210097163936,0.0793854575655173,8.69746329287695e-07,0.000311535280800796,0.749819171910091,0.718769057175624,1,1,1
nominal,98,9.95725233487395e-05,0.0500058911409432,0.427476651260539,0.0117822818863411,8.70659668690255e-07,0.000311522078455493,0.584788126209129,0.547057157535428,1,1,1
nominal,99,9.97536267512993e-05,0.0499111494416604,0.246373248700693,0.177701116679141,8.73834081697321e-07,0.000310738733841465,2.62265630368272,2.59050418547274,1,1,1
nominal,100,0.000100207192411258,0.0500080347022302,0.207192411258283,0.0160694044604615,8.81816848281461e-07,0.000312161114757187,1.26418865525928,1.23987673482548,1,1,1
high_D,1,9.98983220583002e-05,0.0500183501208333,0.101677941699785,0.0367002416665541,3.27348953281994e-07,0.000121195805306591,8.22771269896705,0.131741488901875,1,1,1
high_D,2,9.9907193107828e-05,0.0499930007903465,0.0928068921720149,0.0139984193070153,3.26440173729705e-07,0.000121569211315472,7.57911418834284,0.033709635779873,1,1,1
