cycle,time_s,C_OFF_F,C_ON_F,C_true_F,ESR_true_Ohm
188,0.00973999999999988,0.000100001682369811,9.99976545667634e-05,0.0001,0.05
189,0.00976,0.00010000169194007,9.99996582952188e-05,0.0001,0.05
190,0.00977999999999993,0.000100001693031192,9.99976564831479e-05,0.0001,0.05
191,0.00979999999999981,0.00010000035885257,9.99976863768796e-05,0.0001,0.05
192,0.00982,0.000100001695004905,9.99976591113101e-05,0.0001,0.05
193,0.00983999999999988,0.000100001687437406,9.99976606748385e-05,0.0001,0.05
194,0.00986,0.000100001696653639,9.99996593233516e-05,0.0001,0.05
195,0.00987999999999993,0.000100001697338211,9.99976642615394e-05,0.0001,0.05
196,0.00989999999999981,0.000100000359680241,9.99976948153416e-05,0.0001,0.05
197,0.00992,0.000100001698392724,9.99976684045755e-05,0.0001,0.05
198,0.00993999999999988,0.000100001690303401,9.99976706626417e-05,0.0001,0.05
199,0.00996,0.000100001698982802,9.99996608852972e-05,0.0001,0.05
200,0.00997999999999993,0.000100001699087255,9.99976755054082e-05,0.0001,0.05
