case_id,algorithm,noise_profile,skew_ns,seed,C_true_F,ESR_true_ohm,C_est_F,ESR_est_ohm,C_error_percent,ESR_error_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,convergence_cycles,projection_saturation,failure_flag,failure_reason,mu_C,mu_R
PV1-007,B3 Dual EKF,F28379D_device_realistic,0,24007,9e-05,0.05,8.99321253560197e-05,0.0505000703307274,0.0754162710891924,1.00014066145473,-0.0754162710891924,1.00014066145473,5.74547851903364e-14,2.88052633277975e-06,20,0,0,,257654.478507176,59073465.6713188
PV1-007,B4 Cuk-adapted wavelet-KF,F28379D_device_realistic,0,24007,9e-05,0.05,8.97887646764981e-05,0.048971450279148,0.234705915002154,2.05709944170407,-0.234705915002154,-2.05709944170407,1.07643093869792e-12,6.35337502969229e-06,14,0,0,,257654.478507176,59073465.6713188
PV1-007,TS-SLTVKE,F28379D_device_realistic,0,24007,9e-05,0.05,8.98814806526852e-05,0.0502494945326096,0.131688163683068,0.498989065219155,-0.131688163683068,0.498989065219155,5.28152620156171e-14,2.9176157799979e-07,14,0,0,,257654.478507176,59073465.6713188
PV1-007,B0 Closed-form,F28379D_device_realistic,20,34007,9e-05,0.05,8.99704370200155e-05,0.0489575600187573,0.0328477555383623,2.08487996248538,-0.0328477555383623,-2.08487996248538,0.00293186887371289,9.00606424008612e-06,256,0,0,,257654.478507176,59073465.6713188
PV1-007,B1 RLS,F28379D_device_realistic,20,34007,9e-05,0.05,8.9994441642913e-05,0.050240596750829,0.00617595231887812,0.481193501657984,-0.00617595231887812,0.481193501657984,7.83362478803817e-09,0.0256832578856938,27,0,0,,257654.478507176,59073465.6713188
PV1-007,B2 Augmented EKF,F28379D_device_realistic,20,34007,9e-05,0.05,9.87427006325357e-05,0.0492014079486398,9.71411181392859,1.59718410272046,9.71411181392859,-1.59718410272046,5.21956912503206e-10,4.18540382260838e-06,1024,0,0,,257654.478507176,59073465.6713188
PV1-007,B3 Dual EKF,F28379D_device_realistic,20,34007,9e-05,0.05,9.00672710024962e-05,0.0500580542773711,0.0747455583290643,0.116108554742131,0.0747455583290643,0.116108554742131,5.78009255430082e-14,2.88052633277975e-06,16,0,0,,257654.478507176,59073465.6713188
PV1-007,B4 Cuk-adapted wavelet-KF,F28379D_device_realistic,20,34007,9e-05,0.05,8.99221038702071e-05,0.048798552023434,0.0865512553254241,2.40289595313194,-0.0865512553254241,-2.40289595313194,1.08283933384881e-12,6.35337502969229e-06,14,0,0,,257654.478507176,59073465.6713188
PV1-007,TS-SLTVKE,F28379D_device_realistic,20,34007,9e-05,0.05,8.99927411781329e-05,0.049964721210185,0.00806535763007857,0.0705575796300234,-0.00806535763007857,-0.0705575796300234,5.3077259202174e-14,2.9176157799979e-07,4,0,0,,257654.478507176,59073465.6713188
PV1-007,B0 Closed-form,F28379D_device_realistic,50,44007,9e-05,0.05,8.98916217267042e-05,0.0488722048541385,0.120420303662035,2.25559029172299,-0.120420303662035,-2.25559029172299,0.00257547996214321,1.26837644374978e-05,256,0,0,,257654.478507176,59073465.6713188
